dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_14d_corporate_name,search_interest_14d_corporate_name,14-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.9003,,,2026-07-16T15:20:39,possible_direction=unknown,100 14 average company d1 daily day google interest matrix name other possible_direction queries rolling scale search search_interest_14d_corporate_name stock stock_search_trends trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_14d_equity_symbol,search_interest_14d_equity_symbol,14-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.6417,,,2026-07-16T15:20:39,possible_direction=unknown,100 14 average d1 daily day google interest matrix other possible_direction queries rolling scale search search_interest_14d_equity_symbol stock stock_search_trends symbol ticker trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_1y_corporate_name,search_interest_1y_corporate_name,364-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.8528,,,2026-07-16T15:20:39,possible_direction=unknown,100 364 average company d1 daily day google interest matrix name other possible_direction queries rolling scale search search_interest_1y_corporate_name stock stock_search_trends trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_1y_equity_symbol,search_interest_1y_equity_symbol,364-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.6119,,,2026-07-16T15:20:39,possible_direction=unknown,100 364 average d1 daily day google interest matrix other possible_direction queries rolling scale search search_interest_1y_equity_symbol stock stock_search_trends symbol ticker trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_28d_corporate_name,search_interest_28d_corporate_name,28-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.8999,,,2026-07-16T15:20:39,possible_direction=unknown,100 28 average company d1 daily day google interest matrix name other possible_direction queries rolling scale search search_interest_28d_corporate_name stock stock_search_trends trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_28d_equity_symbol,search_interest_28d_equity_symbol,28-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.6413,,,2026-07-16T15:20:39,possible_direction=unknown,100 28 average d1 daily day google interest matrix other possible_direction queries rolling scale search search_interest_28d_equity_symbol stock stock_search_trends symbol ticker trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_7d_corporate_name,search_interest_7d_corporate_name,7-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.9005,,,2026-07-16T15:20:39,possible_direction=unknown,100 average company d1 daily day google interest matrix name other possible_direction queries rolling scale search search_interest_7d_corporate_name stock stock_search_trends trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_7d_equity_symbol,search_interest_7d_equity_symbol,7-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.6419,,,2026-07-16T15:20:39,possible_direction=unknown,100 average d1 daily day google interest matrix other possible_direction queries rolling scale search search_interest_7d_equity_symbol stock stock_search_trends symbol ticker trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_84d_corporate_name,search_interest_84d_corporate_name,84-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.8981,,,2026-07-16T15:20:39,possible_direction=unknown,100 84 average company d1 daily day google interest matrix name other possible_direction queries rolling scale search search_interest_84d_corporate_name stock stock_search_trends trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_84d_equity_symbol,search_interest_84d_equity_symbol,84-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1),MATRIX,USA,TOP3000,1,0.6396,,,2026-07-16T15:20:39,possible_direction=unknown,100 84 average d1 daily day google interest matrix other possible_direction queries rolling scale search search_interest_84d_equity_symbol stock stock_search_trends symbol ticker trend trends unknown us usa
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_today_corporate_name,search_interest_today_corporate_name,Latest complete calendar day Google Trends search-interest value for company-name queries in the USA; daily point-in-time value on Google’s 0–100 scale (D1 delay),MATRIX,USA,TOP3000,1,0.8881,,,2026-07-16T15:20:39,possible_direction=unknown,100 calendar company complete d1 daily day delay google interest latest matrix name other point possible_direction queries scale search search_interest_today_corporate_name stock stock_search_trends time trend trends unknown us usa value
stock_search_trends,US Stock Search Trend Matrix,Other,search_interest_today_equity_symbol,search_interest_today_equity_symbol,Latest complete calendar day Google Trends search-interest value for ticker-symbol queries in the USA; daily point-in-time value on Google’s 0–100 scale (D1 delay),MATRIX,USA,TOP3000,1,0.6346,,,2026-07-16T15:20:39,possible_direction=unknown,100 calendar complete d1 daily day delay google interest latest matrix other point possible_direction queries scale search search_interest_today_equity_symbol stock stock_search_trends symbol ticker time trend trends unknown us usa value
