"dataset_id","dataset_name","dataset_category","field_id","field_name","description","field_type","region","universe","delay","coverage","user_permission","permission_level","last_seen","notes"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a0_value","fnd22_a0_value","Value of the field","VECTOR","USA","TOP3000","1","0.7229","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a1_value","fnd22_a1_value","Numerical value(s) of one or more ESG KPIs, index mapped by position to codebook item for the given module and vintage","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a2_value","fnd22_a2_value","Numerical value representing the ESG feature or metric relevant to this module, semantics depend on mapping","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a3_value","fnd22_a3_value","Numerical value of the ESG KPI or metric represented by the record; actual metric depends on mapping for the module","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a4_value","fnd22_a4_value","Numerical value or score for the given ESG KPI in the Social (A4) theme for a specific company and date","VECTOR","USA","TOP3000","1","0.7231","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a5_value","fnd22_a5_value","Value of the field","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a6_value","fnd22_a6_value","Value of the field","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a7_value","fnd22_a7_value","Value of the field","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a8_value","fnd22_a8_value","Value of the field","VECTOR","USA","TOP3000","1","0.7233","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_a9_value","fnd22_a9_value","Value of the field","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_as_value","fnd22_as_value","Value of the field","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_s1_value","fnd22_s1_value","Numerical value for the ESG metric/KPI represented in this record","VECTOR","USA","TOP3000","1","0.7233","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_s2_value","fnd22_s2_value","Value of the field","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
"fundamental22","Environmental and Social Governance Data","Fundamental","fnd22_value","fnd22_value","Numerical value of the specific ESG KPI for the given entity and date","VECTOR","USA","TOP3000","1","0.7234","","","2026-07-16T15:20:39","possible_direction=fundamental"
